,school,applicant_number,sat_low,sat_upper,accept_rate,rate
296,Drexel University,31824,1100.0,1250.0,74.7,ok
297,University of Redlands,4713,1050.0,1260.0,75.0,ok
298,Loyola University New Orleans,5857,960.0,1170.0,75.0,ok
299,California State University--Monterey Bay,12327,1030.0,1213.0,75.3,ok
300,Whittier College,6220,1170.0,1370.0,75.9,ok
301,Kalamazoo College,3576,1060.0,1220.0,76.0,ok
302,Towson University,12678,1130.0,1380.0,76.3,ok
303,Centre College,2212,1030.0,1220.0,76.4,ok
304,University of Texas San Antonio,17122,1120.0,1290.0,76.6,ok
305,Ball State,23305,1100.0,1270.0,76.7,ok
306,James Madison University,23578,1150.0,1360.0,76.8,ok
307,Appalachian State University,16664,1090.0,1250.0,76.8,ok
308,Indiana University—​Bloomington,44169,1070.0,1260.0,76.9,ok
309,High Point University,10098,1120.0,1300.0,76.9,ok
310,Virginia Commonwealth University,18622,1060.0,1365.0,77.1,ok
311,University of Arkansas—​Fayetteville,17913,1010.0,1240.0,77.1,ok
312,John Brown University,1094,1090.0,1290.0,77.1,ok
313,University of Idaho,8071,1140.0,1340.0,77.8,ok
314,University of Missouri,18948,1120.0,1360.0,77.8,ok
315,Willamette University,3972,1070.0,1270.0,77.9,ok
316,University of Nebraska—​Lincoln,16829,1080.0,1260.0,78.2,ok
317,Carroll College,2709,1140.0,1350.0,78.3,ok
318,College of Charleston,11783,1160.0,1320.0,78.3,ok
319,University of Colorado—​Boulder,40740,1160.0,1330.0,78.4,ok
320,Elon University,10500,1240.0,1460.0,78.4,ok
321,Seattle University,7968,1030.0,1190.0,78.5,ok
322,University of Texas—​Dallas,14327,1150.0,1330.0,78.6,ok
323,East Carolina,19234,1060.0,1260.0,78.7,ok
324,University of Tennessee,21764,1070.0,1270.0,78.8,ok
325,University of Texas Arlington,12335,1000.0,1210.0,79.5,ok
326,Pacific Lutheran University,3740,1143.0,1320.0,79.8,ok
327,Western Michigan,17698,1210.0,1410.0,79.9,ok
328,Loyola University Maryland,10077,1040.0,1290.0,80.2,ok
329,Miami University—​Oxford,28920,1130.0,1310.0,80.4,ok
330,Goucher College,3154,1150.0,1320.0,80.4,ok
331,University of Oklahoma,15673,1030.0,1250.0,80.4,ok
332,Auburn University,20205,960.0,1180.0,80.7,ok
333,University of Nevada—​Las Vegas,12720,1070.0,1240.0,80.7,ok
334,Boise State,10788,1070.0,1280.0,80.8,ok
335,St. Mary's College of California,6069,1010.0,1250.0,81.0,ok
336,Siena College,7728,1010.0,1180.0,81.1,ok
337,University of North Dakota,4964,1070.0,1290.0,81.1,ok
338,Texas State University,23583,1010.0,1230.0,81.1,ok
339,Colorado State University,28319,1050.0,1240.0,81.4,ok
340,University of Memphis,15381,1100.0,1310.0,81.4,ok
341,West Virginia University,18639,1130.0,1380.0,81.6,ok
342,University of Oregon,27358,1050.0,1260.0,81.6,ok
343,University of St. Thomas (MN),6819,1020.0,1220.0,81.9,ok
344,St. Mary's College (IN),1862,1050.0,1260.0,81.9,ok
345,Illinois State,16151,940.0,1140.0,81.9,ok
346,Ohio University,24179,1000.0,1160.0,82.1,ok
347,California State University--Sacramento,27576,1130.0,1340.0,82.3,ok
348,University of North Carolina—​Greensboro,9972,1140.0,1320.0,82.4,ok
349,University of Iowa,25928,1020.0,1220.0,82.6,ok
350,St. Michael's College,4040,1120.0,1320.0,82.6,ok
351,University of Alaska Anchorage,3673,990.0,1210.0,83.0,ok
352,Marquette University,15078,1080.0,1320.0,83.0,ok
353,College of St. Benedict,1931,1140.0,1320.0,83.4,ok
354,Oregon State University,15786,1150.0,1370.0,83.6,ok
355,The Catholic University of America,6096,1070.0,1270.0,83.7,ok
356,University of Puget Sound,5182,1180.0,1380.0,83.8,ok
357,University of New Hampshire,18040,1060.0,1290.0,84.0,ok
358,Missouri University of Science & Technology,4333,1120.0,1350.0,84.2,ok
359,St. Mary's College of Maryland,1621,1100.0,1290.0,84.3,ok
360,University of Arizona,40854,1130.0,1360.0,84.6,ok
361,Susquehanna University,4863,1220.0,1440.0,84.8,ok
362,Arizona State University—​Tempe,26869,1030.0,1230.0,84.8,ok
363,Wheaton College (IL),1889,1090.0,1280.0,84.8,ok
364,Northern Arizona,36855,1040.0,1230.0,85.0,ok
365,Washington and Jefferson College,2722,1008.0,1240.0,85.2,ok
366,Kent State,16308,1130.0,1330.0,85.5,ok
367,Mills College,1003,1070.0,1290.0,85.5,ok
368,Hope College,3748,1110.0,1320.0,85.7,ok
369,Valparaiso University,5491,990.0,1200.0,85.8,ok
370,George Mason University,19554,1040.0,1240.0,86.7,ok
371,Old Dominion,13335,1000.0,1398.0,87.0,ok
372,Missouri State,7581,1100.0,1310.0,87.9,ok
373,University of Wisconsin Milwaukee,8280,1050.0,1260.0,88.5,ok
374,Transylvania University,1702,980.0,1190.0,88.7,ok
375,Weber State,6853,1050.0,1310.0,89.1,ok
376,University of Maine,13118,1100.0,1340.0,90.2,ok
377,Humboldt State University,16335,1090.0,1300.0,90.9,ok
378,Utah State,15276,1060.0,1270.0,91.0,ok
379,Iowa State University,18246,1070.0,1250.0,92.1,ok
380,Washington College,2225,1080.0,1300.0,92.4,ok
381,University of Montana,6182,1000.0,1240.0,92.6,ok
